latitude,longitude,sst,sss,d18osw
-14.866168,91.062503,26.111675,34.036556,0.106533
-14.866168,92.187503,26.145620,34.018436,0.101756
-14.866168,93.312503,26.171446,34.005802,0.098253
-14.866168,94.437503,26.196449,33.997700,0.095773
-14.866168,95.562503,26.226439,33.989468,0.093146
-14.866168,96.687503,26.266081,33.983303,0.091010
-14.866168,97.812503,26.305119,33.977631,0.088978
-14.866168,98.937503,26.353951,33.975174,0.087621
-14.866168,100.062503,26.406160,33.974319,0.086668
-14.866168,101.187503,26.463148,33.975964,0.086241
-14.866168,102.312503,26.527313,33.979481,0.086118
-14.866168,103.437503,26.596041,33.983437,0.086105
-14.866168,104.562503,26.678661,33.989838,0.086545
-14.866168,105.687503,26.780884,33.997070,0.087613
-14.866168,106.812503,26.903152,34.004898,0.088923
-14.866168,107.937503,27.032715,34.013309,0.090695
-14.866168,109.062503,27.181456,34.020821,0.092110
-14.866168,110.187503,27.332422,34.027706,0.093467
-14.866168,111.312503,27.494801,34.031448,0.093474
-14.866168,112.437503,27.659281,34.028568,0.090985
-14.866168,113.562503,27.816341,34.016708,0.085472
-14.866168,114.687503,27.976418,33.996273,0.077223
-14.866168,115.812503,28.120586,33.971992,0.068101
-14.866168,116.937503,28.266998,33.943993,0.058802
-14.866168,118.062503,28.397871,33.914150,0.048950
-14.866168,119.187503,28.516220,33.865459,0.034647
-14.866168,120.312503,28.594168,33.768299,0.008542
-14.866168,121.437503,28.516279,33.637466,-0.025460
-14.866168,122.562503,28.488041,33.494007,-0.063750
-14.866168,123.687503,28.729343,33.319778,-0.110328
-14.866168,124.812503,28.806412,33.144619,-0.156945
-14.866168,136.062504,27.716623,31.301353,-0.584227
-14.866168,137.187504,27.749697,31.257589,-0.578196
-14.866168,138.312504,27.824343,31.261837,-0.564583
-14.866168,139.437504,27.896626,31.292530,-0.551254
-14.866168,140.562504,27.924191,31.320648,-0.543047
-14.866168,146.187504,26.473511,34.356941,0.222647
-14.866168,147.312504,26.502348,34.327049,0.216087
-14.866168,148.437504,26.717909,34.300861,0.209571
-14.866168,149.562504,26.824423,34.286987,0.206113
-14.588104,91.062503,26.254541,34.022938,0.103774
-14.588104,92.187503,26.295042,34.002922,0.098371
-14.588104,93.312503,26.325893,33.988567,0.094343
-14.588104,94.437503,26.352728,33.979168,0.091241
-14.588104,95.562503,26.382051,33.970207,0.088282
-14.588104,96.687503,26.419298,33.963615,0.085795
-14.588104,97.812503,26.454771,33.957676,0.083534
-14.588104,98.937503,26.498966,33.955257,0.082035
-14.588104,100.062503,26.545296,33.954823,0.081079
-14.588104,101.187503,26.595512,33.957119,0.080632
-14.588104,102.312503,26.652205,33.961449,0.080644
-14.588104,103.437503,26.713131,33.966278,0.080756
-14.588104,104.562503,26.788298,33.973721,0.081531
-14.588104,105.687503,26.882895,33.982025,0.082799
-14.588104,106.812503,26.998028,33.990952,0.084459
-14.588104,107.937503,27.122221,34.000134,0.086442
-14.588104,109.062503,27.264027,34.008190,0.088090
-14.588104,110.187503,27.407354,34.015400,0.089465
-14.588104,111.312503,27.561113,34.019215,0.089821
-14.588104,112.437503,27.716166,34.015980,0.087427
-14.588104,113.562503,27.862995,34.003208,0.081966
-14.588104,114.687503,28.012583,33.981236,0.073761
-14.588104,115.812503,28.147682,33.955040,0.064494
-14.588104,116.937503,28.285748,33.926235,0.055161
-14.588104,118.062503,28.410194,33.897732,0.046275
-14.588104,119.187503,28.525974,33.854950,0.033374
-14.588104,120.312503,28.610575,33.772827,0.010769
-14.588104,121.437503,28.580244,33.640644,-0.024218
-14.588104,122.562503,28.431772,33.510708,-0.059313
-14.588104,123.687503,28.708353,33.323418,-0.110018
-14.588104,124.812503,28.801626,33.145283,-0.156834
-14.588104,128.187504,28.544308,31.110088,-0.653427
-14.588104,129.312504,28.328022,31.125050,-0.653522
-14.588104,136.062504,27.738171,31.295231,-0.585532
-14.588104,137.187504,27.755440,31.263906,-0.578016
-14.588104,138.312504,27.818581,31.270149,-0.563935
-14.588104,139.437504,27.876818,31.301615,-0.551168
-14.588104,140.562504,27.915354,31.324238,-0.543609
-14.588104,146.187504,26.521730,34.350372,0.221054
-14.588104,147.312504,26.552399,34.321499,0.214936
